millesime;manifestation;num_site;name;description;animations;condition_acces;unesco;musee_national;parcours;adresse;logo;tarifs;accessibilite;www;info_mail;info_tel;resa_mail;resa_tel;visite;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_millesime;meta_actif;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
"2017";"Fête de la musique 2017";"24";"Chorale du collège Saint-Michel et la salle Montalembert";"Pop rock";"";"13h30/15h30";"";"";"Musique du monde";"Place Saint-Didier";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845073.0385298119";"6318067.910834153";"4.807218157853908";"43.946672330238215";"43.946672330238215";"4.807218157853908"
"2017";"Fête de la musique 2017";"24";"Vi and ZeBoys";"Compositions originales (Pop-Chansons françaises)";"";"20h30/21h30";"";"";"Chansons";"Place Saint-Didier";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845073.0385298119";"6318067.910834153";"4.807218157853908";"43.946672330238215";"43.946672330238215";"4.807218157853908"
"2017";"Fête de la musique 2017";"24";"Alpha";"Variété française/rock/funk/rap";"";"22h/23h";"";"";"Musique actuelle";"Place Saint-Didier";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845073.0385298119";"6318067.910834153";"4.807218157853908";"43.946672330238215";"43.946672330238215";"4.807218157853908"
"2017";"Fête de la musique 2017";"24";"Got the Mojo";"Blues, rock des années 50 aux années 70";"";"23h/00h30";"";"";"Rock";"Place Saint-Didier";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845073.038529812";"6318067.702650099";"4.807218098508742";"43.94667045714947";"43.94667045714947";"4.807218098508742"
"2017";"Fête de la musique 2017";"25";"Dj Pascal et Lolo";"Vinyls année 80";"";"20h/00h";"";"";"Rock";"3 Rue Saint Jean le Vieux";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845282.0185343323";"6318291.209025294";"4.809884320652775";"43.948638332715696";"43.948638332715696";"4.809884320652775"
"2017";"Fête de la musique 2017";"26";"Damien Garrel";"Pop rock";"";"19h/23h";"";"";"Rock";"3 Rue Pouquery et Boisserin";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844880.1486116514";"6318034.433819131";"4.804806577636652";"43.94641082884503";"43.94641082884503";"4.804806577636652"
"2017";"Fête de la musique 2017";"27";"The Magic Wizard's Sound";"Variété française, musique Pop, Electro, Disco, Funk";"";"18h/00h";"";"";"Musique actuelle";"Place Crillon";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844716.7872729714";"6318455.51486408";"4.802891999999998";"43.95023300002227";"43.95023300002227";"4.802891999999998"
"2017";"Fête de la musique 2017";"16";"Jeannie'Schaker";"Reprises pop-rock";"";"19h/20h";"";"";"Rock";"Square Agricol Perdiguier";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845031.036896206";"6317836.990486686";"4.806629308614278";"43.944603327061664";"43.944603327061664";"4.806629308614278"
"2017";"Fête de la musique 2017";"16";"Byll's";"Rock";"";"21h/21h45";"";"";"Rock";"Square Agricol Perdiguier";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845031.036896206";"6317836.990486686";"4.806629308614278";"43.944603327061664";"43.944603327061664";"4.806629308614278"
"2017";"Fête de la musique 2017";"16";"Crowling";"Heavy metal";"";"22h/23h";"";"";"Rock";"Square Agricol Perdiguier";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845031.036896206";"6317836.990486686";"4.806629308614278";"43.944603327061664";"43.944603327061664";"4.806629308614278"
